dataset,fragment,events,generator,time per event,size per event,match efficiency,filter efficiency,score
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,3000000,pythia8-evtgen,1.11e+00,6.08e+02,1.0,5.92e-02,1535.18123667
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1300000,pythia8-evtgen,2.38e+00,6.10e+02,1.0,1.31e-01,1585.03026968
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,600000,pythia8-evtgen,2.50e+00,6.15e+02,1.0,1.38e-01,1590.28161237
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,700000,pythia8-evtgen,2.30e+00,6.12e+02,1.0,1.34e-01,1677.34420501
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,900000,pythia8-evtgen,1.50e+00,6.12e+02,1.0,8.96e-02,1719.40298507
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,500000,pythia8-evtgen,1.45e+00,6.13e+02,1.0,8.82e-02,1752.89105295
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,600000,pythia8-evtgen,1.57e+00,6.14e+02,1.0,8.87e-02,1628.95927602
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1000000,pythia8-evtgen,1.54e+00,6.18e+02,1.0,9.33e-02,1741.23337364
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1200000,pythia8-evtgen,1.67e+00,6.09e+02,1.0,9.65e-02,1664.73988439
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1300000,pythia8-evtgen,1.56e+00,6.09e+02,1.0,9.58e-02,1763.62522964
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1700000,pythia8-evtgen,1.57e+00,6.08e+02,1.0,9.55e-02,1752.89105295
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau0p01mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Hadronizer/13TeV/BcToHNLEMuX_HNLToEMuPi/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.01mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1700000,pythia8-evtgen,1.54e+00,6.11e+02,1.0,9.79e-02,1829.73316391
