dataset,fragment,events,generator,time per event,size per event,match efficiency,filter efficiency,score
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,14000000,pythia8-evtgen,1.51e-01,7.47e+02,1.0,1.24e-03,237.193213639
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,5000000,pythia8-evtgen,2.06e-01,6.86e+02,1.0,4.59e-03,642.140468227
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1000000,pythia8-evtgen,2.28e-01,6.90e+02,1.0,5.62e-03,708.835835589
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1p5_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1.5_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,7000000,pythia8-evtgen,1.28e-01,6.96e+02,1.0,1.27e-03,285.969615728
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,2000000,pythia8-evtgen,2.17e-01,6.88e+02,1.0,4.48e-03,595.287308805
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL1.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,800000,pythia8-evtgen,2.33e-01,6.93e+02,1.0,5.22e-03,644.007155635
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL2p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL2.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,10000000,pythia8-evtgen,1.41e-01,7.25e+02,1.0,1.25e-03,254.439438113
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL2p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL2.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,2000000,pythia8-evtgen,2.08e-01,6.80e+02,1.0,4.38e-03,606.571187869
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL2p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL2.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,600000,pythia8-evtgen,2.13e-01,6.86e+02,1.0,4.93e-03,667.129951355
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,3500000,pythia8-evtgen,1.83e-01,6.65e+02,1.0,3.63e-03,570.749108205
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1200000,pythia8-evtgen,3.24e-01,6.62e+02,1.0,1.01e-02,896.916848334
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL3p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,600000,pythia8-evtgen,3.73e-01,6.66e+02,1.0,1.07e-02,825.214899713
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL3p0_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,500000,pythia8-evtgen,3.37e-01,6.63e+02,1.0,1.06e-02,905.375668029
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL4p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1200000,pythia8-evtgen,4.86e-01,6.52e+02,1.0,1.66e-02,984.278879016
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL4p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,600000,pythia8-evtgen,4.76e-01,6.53e+02,1.0,1.71e-02,1034.85447359
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL4p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL4.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,500000,pythia8-evtgen,5.13e-01,6.53e+02,1.0,1.71e-02,960.0
BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL4p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLEMuX_HNLToEMuPi/BToHNLEMuX_HNLToEMuPi_SoftQCD_b_mHNL4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,600000,pythia8-evtgen,4.81e-01,6.55e+02,1.0,1.70e-02,1016.94915254
