dataset,fragment,events,generator,time per event,size per event,match efficiency,filter efficiency
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,7000000,pythia8-evtgen,1.33e-01,6.72e+02,1.0,1.59e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,3000000,pythia8-evtgen,2.34e-01,6.72e+02,1.0,6.24e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,700000,pythia8-evtgen,2.55e-01,6.76e+02,1.0,7.75e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1p5_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1.5_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,3500000,pythia8-evtgen,1.22e-01,6.72e+02,1.0,1.66e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1000000,pythia8-evtgen,2.47e-01,6.78e+02,1.0,5.99e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL1.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,500000,pythia8-evtgen,2.76e-01,6.80e+02,1.0,7.01e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL2p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL2.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,5000000,pythia8-evtgen,1.24e-01,6.76e+02,1.0,1.66e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL2p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL2.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,1000000,pythia8-evtgen,2.28e-01,6.75e+02,1.0,5.86e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL2p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL2.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,300000,pythia8-evtgen,2.43e-01,6.81e+02,1.0,6.67e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,2000000,pythia8-evtgen,1.98e-01,6.44e+02,1.0,4.97e-03
BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BToHNLMuX_HNLToMuPi/BToHNLMuX_HNLToMuPi_SoftQCD_b_mHNL3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,800000,pythia8-evtgen,3.38e-01,6.56e+02,1.0,1.40e-02
