dataset,fragment,events,generator,time per event,filter efficiency,size per event,score
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau10000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau10000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.66e-01,1.79e-04,6.63e+02,31.0421764015
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,2.27e-01,1.50e-03,6.54e+02,190.362879239
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,4.25e-01,5.47e-03,6.18e+02,370.608673272
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,4.78e-01,6.22e-03,6.45e+02,374.707259953
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau10000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau10000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,7.47e-02,1.24e-04,7.04e+02,47.8246429758
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,6.96e-02,9.43e-04,6.91e+02,390.402602684
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,9.65e-02,3.44e-03,7.08e+02,1026.73796791
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,9.90e-02,2.99e-03,6.96e+02,870.090634441
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau10000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,8.79e-02,4.77e-05,7.89e+02,15.6258477565
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.07e-01,4.07e-04,6.98e+02,109.701748372
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.45e-01,1.49e-03,7.01e+02,295.021511985
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.50e-01,1.82e-03,6.72e+02,350.492880613
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.62e-01,2.10e-03,6.44e+02,374.074555137
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,3.13e-01,5.54e-03,6.98e+02,509.103765247
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,3.05e-01,5.82e-03,7.01e+02,548.780487805
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,3.04e-01,5.82e-03,7.01e+02,551.618463896
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.14e-01,4.36e-04,6.66e+02,110.167546477
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.18e-01,5.00e-04,6.68e+02,121.842873461
